cod;nome;período;homicidios-mulheres;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-nao-negros;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-homens;homicidios-mulheres-negras;homicidios-homens-nao-negros;homicidios-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios;homicidios-mulheres-nao-negras;homicidios-negros
17;TO;1989;14.0;7;22.0;;;6.0;30.0;15;49.0;;;36;13.0;63.0;;
53;DF;1989;23.0;8;185.0;;;5.0;177.0;177;308.0;;;182;116.0;331.0;;
52;GO;1989;91.0;41;344.0;;;44.0;426.0;302;717.0;;;471;223.0;810.0;;
51;MT;1989;31.0;15;180.0;;;8.0;199.0;165;440.0;;;207;82.0;471.0;;
50;MS;1989;39.0;21;168.0;;;20.0;175.0;147;330.0;;;197;95.0;371.0;;
43;RS;1989;142.0;62;806.0;;;41.0;755.0;744;1419.0;;;796;447.0;1561.0;;
42;SC;1989;39.0;15;168.0;;;15.0;142.0;153;315.0;;;157;82.0;354.0;;
41;PR;1989;105.0;45;501.0;;;39.0;457.0;455;1004.0;;;498;255.0;1112.0;;
35;SP;1989;671.0;336;5522.0;;;154.0;2668.0;5186;8508.0;;;2822;1821.0;9179.0;;
33;RJ;1989;304.0;140;2310.0;;;167.0;2772.0;2170;3980.0;;;2942;1722.0;4290.0;;
32;ES;1989;75.0;29;349.0;;;29.0;361.0;320;763.0;;;395;180.0;845.0;;
31;MG;1989;168.0;67;546.0;;;47.0;384.0;479;1047.0;;;432;223.0;1216.0;;
29;BA;1989;80.0;46;574.0;;;23.0;562.0;527;1000.0;;;591;327.0;1086.0;;
28;SE;1989;15.0;5;64.0;;;5.0;66.0;59;124.0;;;71;3946.0;139.0;;
27;AL;1989;66.0;29;339.0;;;21.0;310.0;310;739.0;;;331;143.0;805.0;;
26;PE;1989;173.0;90;1326.0;;;91.0;1607.0;1235;2379.0;;;1698;943.0;2553.0;;
25;PB;1989;52.0;24;193.0;;;21.0;201.0;169;409.0;;;222;102.0;461.0;;
24;RN;1989;14.0;5;113.0;;;3.0;121.0;108;222.0;;;124;69.0;236.0;;
23;CE;1989;47.0;13;299.0;;;13.0;203.0;286;560.0;;;216;121.0;607.0;;
22;PI;1989;17.0;8;68.0;;;7.0;53.0;60;125.0;;;60;30.0;142.0;;
21;MA;1989;28.0;13;174.0;;;10.0;166.0;160;382.0;;;176;82.0;411.0;;
11;RO;1989;47.0;27;188.0;;;25.0;260.0;161;443.0;;;285;114.0;490.0;;
12;AC;1989;6.0;4;56.0;;;3.0;45.0;52;89.0;;;48;28.0;95.0;;
13;AM;1989;31.0;20;161.0;;;9.0;136.0;141;289.0;;;146;82.0;321.0;;
14;RR;1989;12.0;8;61.0;;;0.0;1.0;53;100.0;;;1;1.0;113.0;;
15;PA;1989;51.0;27;303.0;;;28.0;328.0;276;615.0;;;356;165.0;666.0;;
16;AP;1989;3.0;2;29.0;;;1.0;19.0;27;36.0;;;20;13.0;39.0;;
26;PE;1990;219.0;101;1377.0;;;111.0;1616.0;1275;2522.0;;;1728;955.0;2742.0;;
11;RO;1990;37.0;21;223.0;;;14.0;278.0;202;517.0;;;293;130.0;555.0;;
12;AC;1990;6.0;4;33.0;;;4.0;29.0;29;58.0;;;33;18.0;64.0;;
13;AM;1990;31.0;14;207.0;;;14.0;184.0;193;332.0;;;201;119.0;367.0;;
14;RR;1990;20.0;11;63.0;;;1.0;8.0;52;107.0;;;9;3.0;127.0;;
15;PA;1990;78.0;39;376.0;;;35.0;424.0;337;669.0;;;459;242.0;748.0;;
16;AP;1990;5.0;3;22.0;;;2.0;14.0;18;40.0;;;17;11.0;46.0;;
17;TO;1990;7.0;3;22.0;;;4.0;21.0;19;47.0;;;25;10.0;54.0;;
21;MA;1990;32.0;17;199.0;;;14.0;180.0;182;410.0;;;194;86.0;442.0;;
22;PI;1990;5.0;2;52.0;;;1.0;32.0;50;104.0;;;33;16.0;109.0;;
23;CE;1990;45.0;23;253.0;;;23.0;219.0;230;510.0;;;242;126.0;555.0;;
24;RN;1990;20.0;7;92.0;;;9.0;108.0;85;180.0;;;117;58.0;200.0;;
25;PB;1990;41.0;13;185.0;;;18.0;206.0;172;399.0;;;224;95.0;440.0;;
27;AL;1990;55.0;20;284.0;;;12.0;261.0;263;663.0;;;273;116.0;719.0;;
28;SE;1990;13.0;8;88.0;;;6.0;69.0;80;138.0;;;75;5488.0;151.0;;
29;BA;1990;77.0;30;437.0;;;31.0;486.0;406;782.0;;;523;289.0;867.0;;
31;MG;1990;148.0;63;520.0;;;50.0;444.0;457;1029.0;;;494;240.0;1178.0;;
32;ES;1990;88.0;40;384.0;;;37.0;382.0;344;791.0;;;419;215.0;881.0;;
33;RJ;1990;477.0;215;3833.0;;;312.0;5236.0;3616;6614.0;;;5557;3172.0;7101.0;;
35;SP;1990;679.0;340;5640.0;;;185.0;2784.0;5300;8824.0;;;2969;1861.0;9503.0;;
41;PR;1990;125.0;54;537.0;;;50.0;488.0;483;1041.0;;;538;279.0;1167.0;;
42;SC;1990;46.0;18;158.0;;;17.0;150.0;140;341.0;;;167;77.0;388.0;;
43;RS;1990;157.0;60;886.0;;;81.0;917.0;826;1547.0;;;998;551.0;1704.0;;
50;MS;1990;40.0;19;156.0;;;16.0;146.0;137;306.0;;;162;72.0;348.0;;
51;MT;1990;39.0;16;155.0;;;16.0;164.0;139;376.0;;;180;66.0;415.0;;
52;GO;1990;58.0;32;309.0;;;29.0;349.0;277;620.0;;;380;180.0;681.0;;
53;DF;1990;40.0;17;251.0;;;19.0;259.0;234;423.0;;;278;159.0;463.0;;
15;PA;1991;72.0;36;380.0;;;42.0;448.0;344;737.0;;;491;232.0;810.0;;
21;MA;1991;54.0;27;227.0;;;21.0;182.0;200;416.0;;;203;118.0;470.0;;
22;PI;1991;11.0;6;43.0;;;3.0;28.0;37;92.0;;;31;15.0;103.0;;
23;CE;1991;53.0;22;303.0;;;15.0;227.0;281;554.0;;;242;139.0;607.0;;
24;RN;1991;17.0;9;119.0;;;6.0;103.0;110;202.0;;;109;65.0;219.0;;
25;PB;1991;40.0;13;183.0;;;22.0;158.0;170;361.0;;;180;79.0;401.0;;
26;PE;1991;232.0;100;1426.0;;;125.0;1878.0;1325;2706.0;;;2008;1046.0;2944.0;;
27;AL;1991;67.0;19;239.0;;;18.0;234.0;219;590.0;;;257;99.0;665.0;;
28;SE;1991;21.0;13;131.0;;;8.0;168.0;118;287.0;;;179;4677.0;317.0;;
29;BA;1991;64.0;29;266.0;;;20.0;245.0;236;528.0;;;266;128.0;596.0;;
31;MG;1991;159.0;60;541.0;;;43.0;472.0;480;1071.0;;;516;269.0;1232.0;;
32;ES;1991;95.0;36;413.0;;;32.0;440.0;377;872.0;;;473;229.0;968.0;;
33;RJ;1991;370.0;154;2640.0;;;235.0;3736.0;2484;4672.0;;;3979;2207.0;5055.0;;
35;SP;1991;789.0;374;5601.0;;;226.0;2912.0;5227;8896.0;;;3138;1972.0;9685.0;;
41;PR;1991;149.0;60;519.0;;;52.0;510.0;459;1073.0;;;562;266.0;1225.0;;
42;SC;1991;38.0;16;147.0;;;17.0;148.0;131;317.0;;;165;82.0;355.0;;
43;RS;1991;156.0;68;823.0;;;86.0;1031.0;755;1538.0;;;1117;573.0;1694.0;;
50;MS;1991;47.0;24;167.0;;;24.0;191.0;142;338.0;;;218;106.0;388.0;;
51;MT;1991;49.0;26;172.0;;;26.0;201.0;146;403.0;;;227;98.0;452.0;;
52;GO;1991;110.0;51;397.0;;;44.0;396.0;346;741.0;;;440;222.0;852.0;;
53;DF;1991;52.0;21;293.0;;;23.0;291.0;272;437.0;;;314;209.0;489.0;;
16;AP;1991;5.0;2;30.0;;;2.0;17.0;28;49.0;;;19;9.0;54.0;;
11;RO;1991;33.0;11;196.0;;;17.0;247.0;184;455.0;;;265;108.0;491.0;;
12;AC;1991;9.0;6;59.0;;;7.0;56.0;53;97.0;;;63;38.0;106.0;;
13;AM;1991;18.0;10;241.0;;;11.0;222.0;231;384.0;;;233;141.0;403.0;;
14;RR;1991;9.0;5;33.0;;;3.0;15.0;28;70.0;;;18;9.0;79.0;;
17;TO;1991;9.0;3;33.0;;;3.0;43.0;30;83.0;;;46;17.0;92.0;;
35;SP;1992;644.0;283;5285.0;;;161.0;2794.0;5002;8472.0;;;2955;1841.0;9116.0;;
11;RO;1992;35.0;19;140.0;;;14.0;215.0;121;360.0;;;229;89.0;395.0;;
12;AC;1992;13.0;10;61.0;;;7.0;46.0;51;94.0;;;53;34.0;107.0;;
13;AM;1992;26.0;8;178.0;;;7.0;157.0;170;321.0;;;168;81.0;351.0;;
14;RR;1992;9.0;4;47.0;;;5.0;47.0;43;86.0;;;52;23.0;95.0;;
15;PA;1992;56.0;27;353.0;;;31.0;436.0;325;701.0;;;468;221.0;759.0;;
16;AP;1992;4.0;2;43.0;;;3.0;35.0;41;69.0;;;38;24.0;73.0;;
17;TO;1992;5.0;2;23.0;;;3.0;37.0;21;60.0;;;40;14.0;67.0;;
21;MA;1992;30.0;13;162.0;;;15.0;192.0;149;395.0;;;209;74.0;427.0;;
22;PI;1992;10.0;4;41.0;;;2.0;28.0;37;82.0;;;30;15.0;92.0;;
23;CE;1992;42.0;20;265.0;;;14.0;187.0;244;493.0;;;202;102.0;537.0;;
24;RN;1992;15.0;7;92.0;;;9.0;101.0;85;184.0;;;110;57.0;199.0;;
25;PB;1992;36.0;15;165.0;;;24.0;194.0;150;319.0;;;218;101.0;355.0;;
26;PE;1992;171.0;75;1093.0;;;93.0;1621.0;1013;2352.0;;;1719;794.0;2531.0;;
27;AL;1992;53.0;24;243.0;;;17.0;267.0;219;538.0;;;284;131.0;591.0;;
28;SE;1992;28.0;9;212.0;;;7.0;295.0;199;420.0;;;312;4164.0;461.0;;
29;BA;1992;79.0;36;405.0;;;26.0;401.0;369;758.0;;;428;237.0;840.0;;
31;MG;1992;154.0;62;481.0;;;51.0;435.0;418;972.0;;;488;231.0;1131.0;;
32;ES;1992;85.0;39;361.0;;;31.0;349.0;322;751.0;;;381;196.0;839.0;;
33;RJ;1992;319.0;125;2257.0;;;219.0;3358.0;2132;4212.0;;;3580;1896.0;4536.0;;
41;PR;1992;116.0;42;486.0;;;47.0;507.0;440;971.0;;;554;269.0;1092.0;;
42;SC;1992;50.0;12;157.0;;;10.0;141.0;145;311.0;;;151;74.0;361.0;;
43;RS;1992;161.0;62;740.0;;;101.0;934.0;678;1409.0;;;1035;516.0;1570.0;;
50;MS;1992;58.0;28;181.0;;;29.0;206.0;153;365.0;;;235;107.0;423.0;;
51;MT;1992;35.0;17;144.0;;;11.0;144.0;126;316.0;;;158;70.0;355.0;;
52;GO;1992;125.0;52;340.0;;;56.0;361.0;288;703.0;;;417;189.0;828.0;;
53;DF;1992;40.0;14;245.0;;;16.0;255.0;231;384.0;;;271;172.0;424.0;;
17;TO;1993;12.0;7;37.0;;;3.0;24.0;30;81.0;;;27;12.0;93.0;;
53;DF;1993;49.0;23;319.0;;;27.0;335.0;296;503.0;;;362;234.0;553.0;;
52;GO;1993;96.0;51;317.0;;;47.0;327.0;266;636.0;;;375;188.0;734.0;;
51;MT;1993;31.0;20;158.0;;;11.0;159.0;138;325.0;;;170;81.0;356.0;;
50;MS;1993;39.0;14;180.0;;;18.0;236.0;165;413.0;;;257;113.0;457.0;;
43;RS;1993;113.0;49;565.0;;;50.0;637.0;516;1064.0;;;687;369.0;1177.0;;
42;SC;1993;34.0;13;159.0;;;12.0;163.0;146;337.0;;;175;81.0;371.0;;
41;PR;1993;138.0;62;567.0;;;53.0;586.0;505;1099.0;;;639;320.0;1237.0;;
35;SP;1993;726.0;325;5183.0;;;232.0;3451.0;4858;8498.0;;;3683;2304.0;9224.0;;
33;RJ;1993;381.0;124;2557.0;;;256.0;4062.0;2431;4972.0;;;4326;2197.0;5367.0;;
32;ES;1993;101.0;50;516.0;;;33.0;522.0;466;995.0;;;555;295.0;1098.0;;
31;MG;1993;181.0;61;533.0;;;68.0;466.0;472;1028.0;;;535;281.0;1211.0;;
29;BA;1993;120.0;46;825.0;;;54.0;945.0;775;1364.0;;;1013;618.0;1503.0;;
28;SE;1993;25.0;8;159.0;;;10.0;155.0;151;286.0;;;165;5077.0;312.0;;
27;AL;1993;50.0;15;238.0;;;29.0;322.0;223;569.0;;;351;147.0;619.0;;
26;PE;1993;218.0;96;1416.0;;;118.0;1774.0;1318;2543.0;;;1893;1090.0;2763.0;;
25;PB;1993;26.0;10;168.0;;;13.0;192.0;157;337.0;;;205;94.0;365.0;;
24;RN;1993;21.0;9;128.0;;;14.0;137.0;119;222.0;;;151;81.0;243.0;;
23;CE;1993;61.0;30;360.0;;;21.0;249.0;330;640.0;;;270;164.0;702.0;;
22;PI;1993;13.0;8;55.0;;;4.0;26.0;47;104.0;;;30;19.0;117.0;;
21;MA;1993;33.0;15;165.0;;;10.0;161.0;150;359.0;;;173;68.0;394.0;;
11;RO;1993;55.0;23;208.0;;;24.0;256.0;183;439.0;;;280;125.0;498.0;;
12;AC;1993;12.0;3;66.0;;;5.0;55.0;62;101.0;;;61;36.0;116.0;;
13;AM;1993;33.0;17;186.0;;;10.0;161.0;169;316.0;;;172;96.0;350.0;;
14;RR;1993;4.0;3;26.0;;;3.0;39.0;22;63.0;;;43;16.0;69.0;;
15;PA;1993;46.0;21;290.0;;;20.0;345.0;269;577.0;;;365;169.0;623.0;;
16;AP;1993;5.0;2;36.0;;;2.0;37.0;34;61.0;;;39;26.0;66.0;;
26;PE;1994;191.0;80;1381.0;;;113.0;1784.0;1300;2399.0;;;1897;1068.0;2593.0;;
11;RO;1994;37.0;16;169.0;;;17.0;202.0;153;360.0;;;221;95.0;399.0;;
12;AC;1994;11.0;5;48.0;;;5.0;36.0;43;77.0;;;41;23.0;88.0;;
13;AM;1994;27.0;13;231.0;;;13.0;171.0;218;359.0;;;184;110.0;387.0;;
14;RR;1994;6.0;2;31.0;;;2.0;47.0;29;72.0;;;49;18.0;78.0;;
15;PA;1994;59.0;29;362.0;;;36.0;377.0;333;657.0;;;413;217.0;716.0;;
16;AP;1994;16.0;6;69.0;;;4.0;49.0;63;109.0;;;53;33.0;125.0;;
17;TO;1994;13.0;8;50.0;;;5.0;25.0;42;95.0;;;30;12.0;109.0;;
21;MA;1994;24.0;6;136.0;;;6.0;114.0;130;289.0;;;121;65.0;314.0;;
22;PI;1994;10.0;5;54.0;;;1.0;31.0;49;89.0;;;32;19.0;99.0;;
23;CE;1994;59.0;22;308.0;;;21.0;238.0;284;573.0;;;260;123.0;636.0;;
24;RN;1994;19.0;7;107.0;;;6.0;111.0;99;191.0;;;117;66.0;211.0;;
25;PB;1994;28.0;9;204.0;;;16.0;172.0;193;354.0;;;188;98.0;385.0;;
27;AL;1994;48.0;21;257.0;;;24.0;360.0;236;567.0;;;384;166.0;615.0;;
28;SE;1994;32.0;14;181.0;;;21.0;190.0;167;307.0;;;213;5980.0;344.0;;
29;BA;1994;180.0;82;963.0;;;88.0;1073.0;880;1551.0;;;1164;716.0;1739.0;;
31;MG;1994;170.0;74;525.0;;;50.0;409.0;448;941.0;;;460;256.0;1118.0;;
32;ES;1994;108.0;41;517.0;;;46.0;549.0;476;1053.0;;;596;300.0;1166.0;;
33;RJ;1994;491.0;181;3091.0;;;344.0;5080.0;2909;5922.0;;;5430;2779.0;6420.0;;
35;SP;1994;787.0;369;5915.0;;;259.0;3868.0;5546;9194.0;;;4127;2645.0;9981.0;;
41;PR;1994;130.0;54;570.0;;;58.0;650.0;516;1130.0;;;708;356.0;1260.0;;
42;SC;1994;45.0;19;150.0;;;9.0;145.0;131;301.0;;;154;71.0;346.0;;
43;RS;1994;138.0;56;644.0;;;70.0;720.0;588;1196.0;;;790;426.0;1334.0;;
50;MS;1994;48.0;24;233.0;;;19.0;264.0;208;472.0;;;283;138.0;522.0;;
51;MT;1994;20.0;4;113.0;;;7.0;138.0;109;296.0;;;145;56.0;316.0;;
52;GO;1994;93.0;36;363.0;;;41.0;401.0;327;681.0;;;442;227.0;774.0;;
53;DF;1994;50.0;21;322.0;;;33.0;354.0;301;505.0;;;387;250.0;556.0;;
15;PA;1995;59.0;21;321.0;;;25.0;362.0;300;641.0;;;387;183.0;700.0;;
21;MA;1995;40.0;19;173.0;;;10.0;152.0;154;344.0;;;163;79.0;385.0;;
22;PI;1995;19.0;9;53.0;;;7.0;40.0;44;95.0;;;47;28.0;114.0;;
23;CE;1995;55.0;18;424.0;;;18.0;341.0;406;790.0;;;359;195.0;845.0;;
24;RN;1995;30.0;9;106.0;;;15.0;127.0;97;217.0;;;142;66.0;247.0;;
25;PB;1995;66.0;37;235.0;;;29.0;210.0;198;391.0;;;239;131.0;457.0;;
26;PE;1995;205.0;96;1372.0;;;128.0;1942.0;1274;2498.0;;;2073;1127.0;2706.0;;
27;AL;1995;62.0;29;291.0;;;38.0;447.0;262;680.0;;;485;203.0;742.0;;
28;SE;1995;27.0;11;124.0;;;10.0;121.0;113;227.0;;;132;7333.0;255.0;;
29;BA;1995;165.0;57;783.0;;;79.0;978.0;723;1360.0;;;1067;604.0;1536.0;;
31;MG;1995;145.0;52;566.0;;;46.0;558.0;511;1057.0;;;607;325.0;1214.0;;
32;ES;1995;123.0;57;569.0;;;53.0;557.0;512;1031.0;;;610;347.0;1154.0;;
33;RJ;1995;587.0;214;4129.0;;;408.0;6240.0;3914;7617.0;;;6659;3567.0;8218.0;;
35;SP;1995;959.0;456;6486.0;;;368.0;4791.0;6030;10596.0;;;5159;3094.0;11555.0;;
41;PR;1995;163.0;71;666.0;;;79.0;748.0;595;1223.0;;;827;445.0;1387.0;;
42;SC;1995;48.0;20;175.0;;;21.0;197.0;155;372.0;;;218;94.0;420.0;;
43;RS;1995;151.0;64;668.0;;;89.0;884.0;604;1288.0;;;973;494.0;1439.0;;
50;MS;1995;51.0;18;283.0;;;22.0;388.0;264;582.0;;;411;208.0;636.0;;
51;MT;1995;66.0;33;214.0;;;25.0;297.0;181;516.0;;;322;112.0;583.0;;
52;GO;1995;129.0;54;345.0;;;61.0;376.0;291;652.0;;;439;208.0;784.0;;
53;DF;1995;57.0;29;358.0;;;27.0;417.0;329;572.0;;;444;288.0;629.0;;
16;AP;1995;11.0;2;72.0;;;3.0;54.0;70;113.0;;;57;34.0;124.0;;
11;RO;1995;37.0;10;132.0;;;12.0;147.0;122;292.0;;;160;79.0;330.0;;
12;AC;1995;16.0;5;52.0;;;9.0;48.0;47;86.0;;;57;32.0;103.0;;
13;AM;1995;42.0;21;242.0;;;14.0;170.0;221;383.0;;;184;113.0;425.0;;
14;RR;1995;8.0;5;46.0;;;1.0;49.0;41;79.0;;;50;28.0;87.0;;
17;TO;1995;5.0;4;39.0;;;3.0;32.0;35;72.0;;;35;15.0;77.0;;
11;RO;1996;43.0;16;105.0;0.0;0.0;24.0;171.0;89;256.0;0.0;0.0;196;69.0;301.0;0.0;0.0
12;AC;1996;15.0;7;49.0;1.0;0.0;5.0;56.0;42;89.0;0.0;1.0;61;28.0;104.0;0.0;0.0
13;AM;1996;33.0;16;261.0;0.0;0.0;16.0;204.0;245;417.0;0.0;0.0;220;132.0;450.0;0.0;0.0
14;RR;1996;18.0;9;51.0;0.0;0.0;5.0;45.0;42;89.0;0.0;0.0;50;22.0;107.0;0.0;0.0
15;PA;1996;78.0;38;348.0;1.0;0.0;31.0;318.0;310;622.0;0.0;1.0;349;174.0;700.0;0.0;0.0
16;AP;1996;16.0;11;91.0;0.0;0.0;9.0;80.0;80;141.0;0.0;0.0;89;54.0;157.0;0.0;0.0
17;TO;1996;21.0;5;53.0;0.0;0.0;6.0;43.0;48;105.0;0.0;0.0;49;23.0;126.0;0.0;0.0
53;DF;1996;52.0;27;335.0;0.0;0.0;32.0;402.0;308;562.0;0.0;0.0;435;268.0;615.0;0.0;0.0
52;GO;1996;119.0;55;346.0;0.0;0.0;66.0;403.0;291;663.0;0.0;0.0;469;223.0;782.0;0.0;0.0
51;MT;1996;87.0;39;269.0;0.0;0.0;38.0;386.0;229;568.0;0.0;0.0;427;196.0;660.0;0.0;0.0
50;MS;1996;79.0;33;318.0;0.0;0.0;49.0;418.0;285;642.0;0.0;0.0;468;223.0;722.0;0.0;0.0
43;RS;1996;192.0;84;677.0;0.0;0.0;111.0;886.0;593;1290.0;0.0;0.0;997;492.0;1482.0;0.0;0.0
42;SC;1996;67.0;28;182.0;1.0;0.0;26.0;187.0;154;345.0;0.0;1.0;213;108.0;412.0;0.0;0.0
41;PR;1996;154.0;77;676.0;0.0;0.0;73.0;714.0;599;1225.0;0.0;0.0;787;438.0;1379.0;0.0;0.0
35;SP;1996;959.0;431;6808.0;1696.0;335.0;343.0;5022.0;6377;11361.0;24.0;1553.0;5365;3173.0;12320.0;143.0;359.0
33;RJ;1996;651.0;248;3998.0;1.0;0.0;428.0;5581.0;3747;7369.0;0.0;1.0;6017;3157.0;8034.0;0.0;0.0
32;ES;1996;123.0;54;573.0;0.0;0.0;63.0;597.0;518;1067.0;0.0;0.0;661;351.0;1191.0;0.0;0.0
31;MG;1996;185.0;77;579.0;2.0;0.0;87.0;559.0;501;1075.0;0.0;2.0;647;336.0;1261.0;0.0;0.0
29;BA;1996;176.0;83;1001.0;0.0;0.0;120.0;1368.0;918;1707.0;0.0;0.0;1488;854.0;1883.0;0.0;0.0
28;SE;1996;30.0;13;121.0;0.0;0.0;14.0;137.0;108;207.0;0.0;0.0;152;7017.0;238.0;0.0;0.0
27;AL;1996;70.0;32;327.0;0.0;0.0;43.0;472.0;295;671.0;0.0;0.0;515;233.0;741.0;0.0;0.0
26;PE;1996;245.0;84;1529.0;1.0;0.0;150.0;2172.0;1442;2773.0;0.0;1.0;2325;1272.0;3022.0;0.0;0.0
25;PB;1996;106.0;43;302.0;0.0;0.0;41.0;234.0;259;530.0;0.0;0.0;275;148.0;636.0;0.0;0.0
21;MA;1996;31.0;14;162.0;0.0;0.0;12.0;174.0;148;330.0;0.0;0.0;187;88.0;363.0;0.0;0.0
22;PI;1996;14.0;2;50.0;0.0;0.0;2.0;38.0;48;102.0;0.0;0.0;40;20.0;117.0;0.0;0.0
23;CE;1996;84.0;36;443.0;0.0;0.0;29.0;320.0;405;793.0;0.0;0.0;351;192.0;885.0;0.0;0.0
24;RN;1996;35.0;15;113.0;0.0;0.0;12.0;131.0;98;206.0;0.0;0.0;143;69.0;241.0;0.0;0.0
16;AP;1997;12.0;5;85.0;15.0;73.0;6.0;51.0;80;128.0;7.0;13.0;57;31.0;140.0;2.0;80.0
52;GO;1997;94.0;32;327.0;81.0;121.0;42.0;387.0;293;646.0;16.0;68.0;431;207.0;744.0;13.0;137.0
51;MT;1997;88.0;34;302.0;113.0;212.0;36.0;398.0;268;673.0;23.0;91.0;437;189.0;766.0;21.0;235.0
50;MS;1997;71.0;22;307.0;3.0;1.0;38.0;453.0;285;652.0;0.0;3.0;495;232.0;729.0;0.0;1.0
43;RS;1997;190.0;71;765.0;1225.0;232.0;118.0;1029.0;694;1458.0;23.0;1081.0;1147;580.0;1648.0;144.0;255.0
42;SC;1997;51.0;17;173.0;123.0;10.0;20.0;205.0;156;372.0;1.0;111.0;225;97.0;423.0;12.0;11.0
41;PR;1997;157.0;67;718.0;364.0;66.0;64.0;832.0;651;1424.0;4.0;328.0;896;463.0;1581.0;36.0;70.0
35;SP;1997;1028.0;502;7036.0;2945.0;2055.0;404.0;4973.0;6534;11509.0;151.0;2671.0;5377;3274.0;12537.0;274.0;2206.0
53;DF;1997;48.0;21;349.0;83.0;388.0;30.0;402.0;328;565.0;31.0;73.0;432;282.0;613.0;10.0;419.0
33;RJ;1997;646.0;243;4144.0;2468.0;3940.0;408.0;5746.0;3901;7298.0;294.0;2217.0;6161;3413.0;7954.0;250.0;4238.0
32;ES;1997;128.0;58;725.0;121.0;262.0;67.0;887.0;667;1287.0;20.0;105.0;955;526.0;1416.0;16.0;283.0
31;MG;1997;179.0;69;601.0;311.0;519.0;72.0;656.0;532;1168.0;60.0;262.0;728;387.0;1347.0;49.0;579.0
29;BA;1997;175.0;80;1093.0;18.0;120.0;98.0;1328.0;1013;1805.0;11.0;14.0;1426;850.0;1981.0;4.0;131.0
28;SE;1997;18.0;9;106.0;17.0;47.0;8.0;109.0;97;172.0;3.0;14.0;117;7600.0;190.0;3.0;50.0
27;AL;1997;62.0;33;258.0;47.0;124.0;43.0;436.0;225;580.0;8.0;43.0;479;196.0;642.0;4.0;132.0
26;PE;1997;243.0;98;2057.0;347.0;586.0;145.0;2850.0;1954;3463.0;37.0;313.0;3000;1779.0;3713.0;33.0;624.0
25;PB;1997;42.0;21;247.0;27.0;67.0;27.0;299.0;225;449.0;8.0;26.0;327;166.0;492.0;1.0;75.0
24;RN;1997;27.0;10;124.0;66.0;118.0;14.0;139.0;114;208.0;10.0;54.0;153;89.0;235.0;12.0;128.0
23;CE;1997;85.0;33;495.0;62.0;278.0;31.0;417.0;462;941.0;20.0;55.0;448;250.0;1026.0;7.0;298.0
22;PI;1997;13.0;4;72.0;16.0;76.0;4.0;42.0;68;129.0;8.0;13.0;46;19.0;142.0;3.0;84.0
21;MA;1997;46.0;17;149.0;41.0;170.0;19.0;127.0;132;285.0;18.0;33.0;148;71.0;333.0;8.0;189.0
17;TO;1997;19.0;7;47.0;24.0;29.0;4.0;46.0;40;93.0;4.0;21.0;50;26.0;112.0;3.0;33.0
14;RR;1997;10.0;5;42.0;6.0;13.0;3.0;37.0;37;80.0;2.0;5.0;40;23.0;90.0;1.0;15.0
13;AM;1997;33.0;19;277.0;40.0;353.0;13.0;187.0;257;433.0;25.0;36.0;202;124.0;468.0;4.0;380.0
12;AC;1997;14.0;4;59.0;7.0;3.0;6.0;49.0;55;86.0;3.0;7.0;55;37.0;100.0;0.0;6.0
11;RO;1997;33.0;17;154.0;40.0;47.0;20.0;186.0;137;322.0;4.0;32.0;206;92.0;355.0;8.0;51.0
15;PA;1997;76.0;27;386.0;30.0;237.0;36.0;371.0;359;678.0;23.0;28.0;407;211.0;754.0;2.0;260.0
13;AM;1998;52.0;33;342.0;28.0;404.0;22.0;206.0;309;481.0;45.0;26.0;228;139.0;534.0;2.0;449.0
53;DF;1998;54.0;27;381.0;86.0;415.0;35.0;439.0;354;579.0;37.0;73.0;474;316.0;633.0;13.0;452.0
