cod;nome;per√≠odo;homicidios-mulheres;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-nao-negros;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-homens;homicidios-mulheres-negras;homicidios-homens-nao-negros;homicidios-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios;homicidios-mulheres-nao-negras;homicidios-negros
52;GO;1998;76.0;24;325.0;84.0;180.0;36.0;390.0;294;616.0;12.0;71.0;434;217.0;704.0;12.0;193.0
51;MT;1998;93.0;44;356.0;200.0;364.0;46.0;490.0;311;737.0;46.0;176.0;537;255.0;832.0;23.0;411.0
50;MS;1998;73.0;38;306.0;13.0;8.0;41.0;376.0;268;595.0;2.0;10.0;418;210.0;670.0;3.0;10.0
43;RS;1998;181.0;75;716.0;1156.0;231.0;100.0;958.0;641;1343.0;30.0;1019.0;1058;546.0;1524.0;137.0;261.0
42;SC;1998;69.0;28;176.0;223.0;34.0;27.0;171.0;148;345.0;2.0;179.0;198;95.0;414.0;44.0;36.0
41;PR;1998;178.0;69;762.0;944.0;232.0;68.0;893.0;693;1447.0;22.0;827.0;961;513.0;1625.0;117.0;254.0
35;SP;1998;1034.0;518;8020.0;6864.0;5434.0;382.0;5920.0;7502;12952.0;351.0;6291.0;6302;3833.0;13986.0;573.0;5785.0
33;RJ;1998;560.0;223;4008.0;2452.0;3631.0;398.0;5570.0;3783;7000.0;255.0;2246.0;5978;3328.0;7573.0;202.0;3891.0
32;ES;1998;163.0;64;880.0;178.0;328.0;93.0;1066.0;816;1508.0;32.0;156.0;1161;669.0;1675.0;22.0;360.0
31;MG;1998;201.0;81;729.0;420.0;700.0;77.0;788.0;648;1310.0;92.0;363.0;865;480.0;1511.0;57.0;792.0
29;BA;1998;101.0;39;656.0;47.0;248.0;38.0;760.0;616;1169.0;24.0;44.0;799;462.0;1271.0;3.0;273.0
28;SE;1998;13.0;3;87.0;14.0;79.0;6.0;99.0;84;162.0;5.0;12.0;105;8310.0;175.0;2.0;84.0
27;AL;1998;45.0;26;260.0;55.0;216.0;28.0;386.0;234;537.0;18.0;47.0;414;192.0;582.0;8.0;234.0
26;PE;1998;277.0;122;2560.0;545.0;1106.0;196.0;3453.0;2437;4141.0;65.0;485.0;3651;2221.0;4423.0;60.0;1171.0
25;PB;1998;41.0;24;239.0;31.0;82.0;24.0;267.0;215;414.0;5.0;25.0;291;165.0;455.0;6.0;87.0
24;RN;1998;20.0;9;124.0;45.0;119.0;9.0;131.0;115;202.0;7.0;37.0;140;83.0;222.0;8.0;126.0
23;CE;1998;56.0;27;474.0;108.0;305.0;26.0;457.0;447;889.0;11.0;97.0;483;251.0;946.0;11.0;316.0
22;PI;1998;20.0;8;74.0;20.0;78.0;4.0;35.0;66;119.0;12.0;15.0;40;23.0;140.0;5.0;90.0
21;MA;1998;30.0;13;131.0;34.0;177.0;9.0;121.0;118;247.0;18.0;29.0;130;68.0;278.0;5.0;196.0
17;TO;1998;19.0;10;51.0;37.0;53.0;13.0;65.0;41;110.0;12.0;33.0;78;30.0;129.0;4.0;65.0
16;AP;1998;12.0;5;97.0;11.0;134.0;7.0;64.0;92;148.0;9.0;8.0;71;43.0;160.0;3.0;143.0
15;PA;1998;67.0;28;438.0;66.0;472.0;29.0;407.0;410;707.0;45.0;56.0;436;240.0;774.0;10.0;517.0
14;RR;1998;12.0;5;64.0;23.0;91.0;7.0;46.0;59;122.0;9.0;20.0;53;31.0;134.0;3.0;100.0
12;AC;1998;12.0;4;59.0;11.0;21.0;5.0;53.0;55;98.0;1.0;10.0;58;34.0;110.0;1.0;22.0
11;RO;1998;45.0;20;209.0;83.0;105.0;21.0;290.0;189;449.0;7.0;72.0;311;141.0;494.0;11.0;112.0
13;AM;1999;51.0;24;316.0;38.0;422.0;19.0;203.0;292;475.0;45.0;33.0;222;137.0;527.0;4.0;467.0
11;RO;1999;38.0;16;171.0;109.0;153.0;23.0;298.0;155;392.0;15.0;96.0;322;129.0;432.0;12.0;168.0
12;AC;1999;7.0;4;26.0;15.0;15.0;2.0;12.0;22;44.0;2.0;12.0;14;6.0;51.0;3.0;17.0
14;RR;1999;15.0;4;77.0;57.0;82.0;6.0;54.0;73;139.0;6.0;49.0;60;34.0;154.0;8.0;88.0
53;DF;1999;60.0;31;402.0;98.0;440.0;34.0;420.0;371;598.0;40.0;83.0;454;310.0;659.0;15.0;480.0
52;GO;1999;117.0;50;416.0;188.0;245.0;60.0;472.0;366;733.0;28.0;148.0;534;290.0;853.0;40.0;274.0
51;MT;1999;71.0;33;337.0;223.0;387.0;35.0;441.0;304;751.0;34.0;200.0;476;218.0;822.0;23.0;421.0
50;MS;1999;63.0;24;264.0;156.0;124.0;36.0;315.0;240;508.0;13.0;137.0;351;169.0;571.0;19.0;137.0
43;RS;1999;163.0;68;779.0;1173.0;249.0;90.0;995.0;711;1370.0;21.0;1039.0;1085;596.0;1533.0;134.0;270.0
42;SC;1999;50.0;19;147.0;259.0;44.0;19.0;160.0;128;335.0;1.0;217.0;179;77.0;385.0;42.0;45.0
41;PR;1999;182.0;64;813.0;1151.0;262.0;81.0;945.0;749;1522.0;30.0;1025.0;1027;580.0;1706.0;126.0;292.0
35;SP;1999;1123.0;529;9019.0;8367.0;6182.0;450.0;7567.0;8490;14640.0;412.0;7723.0;8017;4905.0;15763.0;644.0;6594.0
33;RJ;1999;543.0;225;3876.0;2446.0;3726.0;380.0;5607.0;3650;6695.0;265.0;2212.0;6002;3365.0;7261.0;232.0;3994.0
32;ES;1999;128.0;63;815.0;230.0;554.0;80.0;1041.0;752;1396.0;45.0;208.0;1121;664.0;1524.0;22.0;599.0
31;MG;1999;222.0;98;792.0;437.0;732.0;74.0;650.0;693;1373.0;110.0;368.0;725;413.0;1596.0;69.0;842.0
29;BA;1999;88.0;33;475.0;97.0;305.0;31.0;520.0;442;823.0;41.0;88.0;551;313.0;913.0;9.0;346.0
28;SE;1999;40.0;18;168.0;39.0;101.0;21.0;194.0;149;288.0;12.0;32.0;216;9347.0;329.0;7.0;114.0
27;AL;1999;55.0;21;273.0;54.0;338.0;29.0;353.0;252;499.0;30.0;47.0;382;202.0;554.0;7.0;368.0
26;PE;1999;265.0;130;2414.0;583.0;2186.0;206.0;3401.0;2282;3949.0;143.0;528.0;3610;2166.0;4217.0;55.0;2329.0
25;PB;1999;34.0;13;202.0;47.0;111.0;19.0;237.0;189;369.0;7.0;34.0;256;138.0;403.0;13.0;118.0
24;RN;1999;24.0;6;84.0;57.0;122.0;15.0;123.0;78;200.0;13.0;50.0;138;58.0;224.0;7.0;135.0
23;CE;1999;91.0;34;512.0;164.0;518.0;31.0;497.0;478;1012.0;34.0;145.0;528;262.0;1104.0;19.0;552.0
22;PI;1999;7.0;4;75.0;18.0;85.0;1.0;55.0;71;126.0;6.0;18.0;56;33.0;133.0;0.0;91.0
21;MA;1999;27.0;7;113.0;41.0;135.0;7.0;95.0;105;233.0;14.0;37.0;102;44.0;262.0;3.0;149.0
17;TO;1999;16.0;11;68.0;46.0;60.0;6.0;64.0;57;121.0;9.0;43.0;70;38.0;137.0;3.0;69.0
16;AP;1999;17.0;11;124.0;11.0;163.0;5.0;55.0;113;175.0;16.0;10.0;60;41.0;192.0;1.0;179.0
15;PA;1999;39.0;16;314.0;67.0;462.0;18.0;325.0;297;601.0;31.0;66.0;344;175.0;642.0;1.0;494.0
14;RR;2000;22.0;9;68.0;28.0;89.0;4.0;1159.0;59;108.0;12.0;18.0;47;28.0;130.0;10.0;101.0
13;AM;2000;36.0;21;352.0;48.0;454.0;13.0;437.0;331;516.0;28.0;42.0;247;165.0;552.0;6.0;482.0
12;AC;2000;13.0;9;67.0;49.0;44.0;4.0;35.0;58;93.0;7.0;44.0;39;21.0;106.0;5.0;51.0
11;RO;2000;46.0;19;210.0;123.0;230.0;18.0;259.0;191;419.0;22.0;109.0;277;127.0;466.0;14.0;252.0
53;DF;2000;41.0;19;407.0;104.0;533.0;23.0;129.0;388;644.0;32.0;97.0;501;334.0;687.0;7.0;565.0
52;GO;2000;142.0;65;548.0;320.0;472.0;71.0;603.0;482;940.0;53.0;269.0;706;406.0;1085.0;51.0;526.0
51;MT;2000;81.0;26;422.0;336.0;561.0;43.0;340.0;396;909.0;47.0;303.0;691;325.0;990.0;33.0;608.0
50;MS;2000;72.0;33;314.0;297.0;273.0;41.0;3405.0;281;577.0;30.0;259.0;448;246.0;651.0;38.0;303.0
43;RS;2000;175.0;53;800.0;1363.0;250.0;91.0;196.0;747;1491.0;22.0;1216.0;1250;662.0;1668.0;147.0;272.0
42;SC;2000;53.0;18;172.0;332.0;47.0;26.0;407.0;154;380.0;9.0;292.0;222;99.0;433.0;40.0;56.0
41;PR;2000;164.0;59;892.0;1379.0;331.0;76.0;1303.0;833;1623.0;22.0;1242.0;1093;620.0;1789.0;137.0;353.0
35;SP;2000;1150.0;544;9249.0;8850.0;6029.0;599.0;648.0;8705;14441.0;378.0;8110.0;9642;6116.0;15591.0;740.0;6407.0
33;RJ;2000;540.0;220;3982.0;2694.0;4003.0;375.0;9043.0;3761;6795.0;265.0;2447.0;6126;3459.0;7350.0;246.0;4271.0
32;ES;2000;113.0;52;744.0;260.0;624.0;63.0;96.0;692;1322.0;49.0;237.0;1004;576.0;1435.0;23.0;673.0
31;MG;2000;252.0;108;1166.0;643.0;1126.0;117.0;451.0;1058;1857.0;125.0;541.0;1420;900.0;2109.0;102.0;1251.0
29;BA;2000;132.0;59;666.0;94.0;802.0;59.0;31.0;607;1108.0;90.0;79.0;766;451.0;1242.0;15.0;892.0
28;SE;2000;37.0;10;218.0;67.0;171.0;18.0;633.0;208;373.0;15.0;62.0;279;157.0;410.0;5.0;186.0
27;AL;2000;64.0;30;395.0;102.0;487.0;33.0;234.0;365;663.0;46.0;92.0;484;277.0;727.0;10.0;533.0
26;PE;2000;310.0;153;2470.0;546.0;3003.0;212.0;941.0;2317;3980.0;202.0;476.0;3617;2190.0;4290.0;70.0;3205.0
25;PB;2000;44.0;20;297.0;59.0;351.0;32.0;705.0;277;463.0;32.0;52.0;372;227.0;507.0;7.0;383.0
24;RN;2000;22.0;13;122.0;61.0;161.0;9.0;1015.0;109;235.0;10.0;50.0;147;79.0;257.0;11.0;171.0
23;CE;2000;106.0;43;620.0;211.0;656.0;54.0;89.0;577;1131.0;51.0;182.0;657;340.0;1238.0;29.0;708.0
22;PI;2000;14.0;7;126.0;36.0;138.0;2.0;5744.0;118;214.0;8.0;33.0;98;55.0;230.0;3.0;147.0
21;MA;2000;32.0;17;187.0;60.0;230.0;12.0;138.0;170;320.0;24.0;56.0;141;64.0;352.0;4.0;254.0
17;TO;2000;16.0;5;86.0;57.0;103.0;8.0;477.0;81;160.0;10.0;52.0;97;57.0;176.0;5.0;113.0
16;AP;2000;4.0;2;107.0;12.0;124.0;2.0;43.0;105;152.0;4.0;12.0;33;24.0;156.0;0.0;128.0
15;PA;2000;63.0;30;418.0;95.0;603.0;24.0;261.0;388;743.0;55.0;88.0;461;247.0;806.0;7.0;658.0
11;RO;2001;65.0;32;240.0;201.0;275.0;34.0;343.0;208;508.0;35.0;178.0;377;157.0;573.0;23.0;310.0
14;RR;2001;7.0;3;51.0;22.0;76.0;1.0;1241.0;48;101.0;6.0;21.0;42;20.0;108.0;1.0;82.0
12;AC;2001;12.0;8;72.0;35.0;65.0;3.0;51.0;64;109.0;5.0;31.0;54;36.0;121.0;4.0;70.0
13;AM;2001;55.0;27;285.0;58.0;371.0;15.0;497.0;258;430.0;45.0;50.0;199;124.0;485.0;8.0;416.0
53;DF;2001;44.0;28;447.0;95.0;549.0;25.0;202.0;419;649.0;34.0;87.0;495;362.0;693.0;8.0;583.0
52;GO;2001;131.0;58;591.0;348.0;606.0;64.0;595.0;533;1035.0;61.0;306.0;752;420.0;1167.0;42.0;667.0
51;MT;2001;92.0;43;427.0;309.0;573.0;42.0;323.0;384;880.0;56.0;276.0;582;286.0;973.0;33.0;629.0
50;MS;2001;64.0;32;267.0;294.0;277.0;35.0;3748.0;235;555.0;31.0;265.0;395;190.0;621.0;29.0;308.0
43;RS;2001;180.0;73;880.0;1498.0;300.0;102.0;244.0;807;1674.0;17.0;1342.0;1343;719.0;1854.0;156.0;317.0
42;SC;2001;60.0;25;214.0;361.0;61.0;25.0;358.0;189;417.0;7.0;320.0;269;133.0;477.0;41.0;68.0
41;PR;2001;197.0;95;1041.0;1639.0;333.0;101.0;1461.0;946;1852.0;24.0;1469.0;1269;731.0;2052.0;169.0;358.0
35;SP;2001;1100.0;538;9193.0;9000.0;6096.0;618.0;539.0;8655;14669.0;379.0;8301.0;10625;6588.0;15773.0;699.0;6475.0
33;RJ;2001;566.0;236;3962.0;2514.0;4003.0;384.0;10006.0;3726;6767.0;306.0;2306.0;6134;3511.0;7362.0;206.0;4309.0
32;ES;2001;132.0;60;784.0;255.0;680.0;80.0;95.0;723;1319.0;58.0;222.0;1019;609.0;1452.0;33.0;738.0
31;MG;2001;241.0;102;1255.0;767.0;1304.0;97.0;575.0;1153;2124.0;119.0;673.0;1558;957.0;2366.0;94.0;1423.0
29;BA;2001;122.0;39;887.0;145.0;1130.0;50.0;42.0;848;1500.0;81.0;132.0;1129;702.0;1622.0;13.0;1211.0
28;SE;2001;31.0;7;298.0;86.0;256.0;19.0;687.0;291;487.0;15.0;80.0;366;228.0;518.0;6.0;271.0
27;AL;2001;54.0;23;480.0;106.0;557.0;29.0;184.0;456;775.0;31.0;95.0;604;369.0;830.0;11.0;589.0
26;PE;2001;294.0;127;2744.0;546.0;3441.0;194.0;939.0;2616;4409.0;206.0;491.0;3949;2442.0;4710.0;55.0;3647.0
25;PB;2001;45.0;24;288.0;56.0;298.0;23.0;1079.0;264;439.0;31.0;47.0;346;211.0;484.0;9.0;329.0
24;RN;2001;24.0;16;156.0;63.0;204.0;14.0;1165.0;140;297.0;17.0;58.0;216;108.0;322.0;5.0;221.0
23;CE;2001;114.0;47;651.0;185.0;638.0;43.0;120.0;604;1170.0;58.0;164.0;638;343.0;1284.0;21.0;696.0
22;PI;2001;35.0;20;133.0;41.0;155.0;7.0;5740.0;113;226.0;24.0;34.0;102;64.0;262.0;7.0;179.0
21;MA;2001;54.0;25;296.0;97.0;403.0;19.0;202.0;271;509.0;36.0;81.0;221;120.0;563.0;16.0;439.0
17;TO;2001;23.0;10;89.0;69.0;126.0;11.0;470.0;79;189.0;14.0;60.0;131;60.0;212.0;9.0;140.0
16;AP;2001;12.0;7;115.0;15.0;155.0;1.0;41.0;108;170.0;9.0;13.0;43;21.0;182.0;2.0;164.0
15;PA;2001;97.0;46;515.0;116.0;725.0;46.0;347.0;469;869.0;74.0;96.0;543;289.0;966.0;20.0;799.0
24;RN;2002;23.0;10;143.0;67.0;201.0;7.0;1402.0;133;276.0;12.0;58.0;193;95.0;299.0;9.0;213.0
53;DF;2002;50.0;31;416.0;93.0;503.0;29.0;239.0;385;591.0;36.0;80.0;469;338.0;641.0;13.0;539.0
52;GO;2002;145.0;62;709.0;411.0;666.0;76.0;692.0;647;1225.0;68.0;361.0;893;520.0;1370.0;50.0;734.0
51;MT;2002;92.0;37;414.0;320.0;549.0;45.0;393.0;377;856.0;53.0;283.0;582;279.0;948.0;37.0;602.0
50;MS;2002;77.0;30;313.0;325.0;298.0;34.0;3453.0;283;605.0;35.0;284.0;421;203.0;684.0;41.0;333.0
43;RS;2002;198.0;76;953.0;1564.0;288.0;107.0;281.0;877;1714.0;34.0;1402.0;1373;757.0;1912.0;162.0;322.0
42;SC;2002;75.0;32;263.0;457.0;75.0;36.0;386.0;231;510.0;9.0;396.0;317;162.0;585.0;61.0;84.0
41;PR;2002;204.0;86;1233.0;1811.0;377.0;92.0;1907.0;1147;2061.0;35.0;1644.0;1494;920.0;2266.0;167.0;413.0
35;SP;2002;1053.0;533;8610.0;8285.0;5643.0;547.0;537.0;8077;13471.0;363.0;7611.0;9415;6042.0;14526.0;673.0;6006.0
33;RJ;2002;560.0;225;4555.0;2869.0;4634.0;362.0;8867.0;4329;7748.0;284.0;2631.0;6678;3888.0;8335.0;236.0;4923.0
32;ES;2002;149.0;74;936.0;290.0;742.0;88.0;110.0;862;1494.0;71.0;261.0;1221;760.0;1644.0;29.0;813.0
31;MG;2002;294.0;120;1624.0;903.0;1776.0;142.0;675.0;1504;2700.0;151.0;783.0;2049;1249.0;2994.0;120.0;1927.0
29;BA;2002;123.0;65;1014.0;149.0;1209.0;60.0;45.0;949;1634.0;88.0;134.0;1220;777.0;1759.0;15.0;1298.0
28;SE;2002;37.0;16;323.0;68.0;362.0;14.0;817.0;307;519.0;22.0;61.0;402;247.0;556.0;7.0;384.0
27;AL;2002;70.0;30;559.0;106.0;616.0;45.0;186.0;529;921.0;39.0;99.0;720;435.0;991.0;7.0;655.0
26;PE;2002;274.0;113;2588.0;534.0;3395.0;182.0;1132.0;2474;4118.0;178.0;459.0;3639;2267.0;4396.0;75.0;3574.0
25;PB;2002;46.0;22;322.0;51.0;405.0;25.0;1159.0;299;551.0;26.0;44.0;425;227.0;607.0;7.0;432.0
23;CE;2002;125.0;60;729.0;142.0;657.0;49.0;76.0;669;1320.0;48.0;126.0;741;422.0;1445.0;16.0;705.0
22;PI;2002;27.0;9;162.0;43.0;214.0;10.0;6308.0;153;279.0;18.0;37.0;120;65.0;308.0;6.0;232.0
21;MA;2002;39.0;13;302.0;97.0;462.0;14.0;186.0;289;567.0;31.0;90.0;253;115.0;606.0;7.0;493.0
17;TO;2002;20.0;9;82.0;43.0;110.0;7.0;440.0;73;150.0;16.0;39.0;83;43.0;170.0;4.0;126.0
16;AP;2002;12.0;5;120.0;18.0;149.0;5.0;43.0;115;169.0;8.0;14.0;50;28.0;181.0;4.0;157.0
15;PA;2002;73.0;31;632.0;137.0;974.0;33.0;388.0;601;1119.0;62.0;127.0;694;373.0;1192.0;10.0;1036.0
14;RR;2002;12.0;7;71.0;28.0;83.0;5.0;1266.0;64;110.0;9.0;25.0;48;20.0;122.0;3.0;92.0
13;AM;2002;35.0;17;312.0;60.0;415.0;15.0;661.0;295;478.0;27.0;53.0;201;116.0;513.0;7.0;442.0
12;AC;2002;11.0;6;90.0;46.0;92.0;3.0;63.0;84;140.0;8.0;43.0;66;40.0;151.0;3.0;100.0
11;RO;2002;44.0;17;282.0;189.0;351.0;21.0;371.0;265;569.0;25.0;177.0;393;179.0;615.0;12.0;376.0
14;RR;2003;6.0;3;53.0;22.0;75.0;3.0;1270.0;50;100.0;5.0;21.0;41;16.0;106.0;1.0;80.0
11;RO;2003;51.0;24;231.0;171.0;346.0;33.0;348.0;207;514.0;29.0;149.0;381;155.0;566.0;22.0;375.0
12;AC;2003;15.0;9;78.0;41.0;91.0;5.0;52.0;69;132.0;7.0;35.0;57;31.0;147.0;6.0;98.0
13;AM;2003;35.0;19;343.0;52.0;465.0;14.0;826.0;324;523.0;30.0;47.0;171;111.0;558.0;5.0;495.0
53;DF;2003;62.0;26;454.0;109.0;578.0;41.0;324.0;428;678.0;45.0;95.0;562;381.0;742.0;14.0;623.0
52;GO;2003;143.0;66;713.0;346.0;709.0;69.0;800.0;647;1201.0;74.0;301.0;868;522.0;1346.0;45.0;784.0
51;MT;2003;90.0;38;406.0;300.0;544.0;40.0;436.0;368;818.0;53.0;266.0;555;270.0;908.0;34.0;597.0
50;MS;2003;64.0;26;344.0;303.0;355.0;35.0;3580.0;318;640.0;27.0;268.0;430;240.0;705.0;35.0;382.0
43;RS;2003;177.0;61;932.0;1543.0;331.0;95.0;384.0;871;1731.0;23.0;1391.0;1365;755.0;1908.0;152.0;354.0
42;SC;2003;70.0;30;313.0;494.0;93.0;30.0;395.0;283;600.0;8.0;442.0;414;220.0;670.0;52.0;101.0
41;PR;2003;227.0;102;1368.0;2078.0;380.0;119.0;2615.0;1265;2326.0;32.0;1887.0;1748;1065.0;2555.0;190.0;412.0
35;SP;2003;1029.0;522;8348.0;8127.0;5461.0;538.0;515.0;7826;13017.0;378.0;7487.0;9570;6132.0;14048.0;640.0;5839.0
33;RJ;2003;527.0;214;4517.0;2728.0;4671.0;336.0;9032.0;4303;7579.0;277.0;2499.0;6365;3675.0;8115.0;228.0;4948.0
32;ES;2003;141.0;57;893.0;335.0;816.0;71.0;133.0;836;1487.0;67.0;293.0;1179;699.0;1629.0;42.0;883.0
31;MG;2003;376.0;179;2241.0;1148.0;2340.0;200.0;740.0;2062;3493.0;199.0;996.0;2815;1814.0;3869.0;152.0;2539.0
29;BA;2003;152.0;68;1272.0;158.0;1565.0;68.0;65.0;1204;2014.0;100.0;140.0;1588;1008.0;2166.0;18.0;1665.0
28;SE;2003;34.0;12;259.0;62.0;262.0;18.0;797.0;247;435.0;16.0;54.0;339;200.0;469.0;8.0;278.0
27;AL;2003;67.0;29;615.0;63.0;591.0;34.0;157.0;586;972.0;39.0;58.0;774;476.0;1039.0;5.0;630.0
26;PE;2003;274.0;132;2645.0;546.0;3375.0;186.0;1107.0;2513;4243.0;187.0;493.0;3766;2298.0;4517.0;53.0;3562.0
25;PB;2003;35.0;14;339.0;48.0;458.0;22.0;1520.0;325;579.0;25.0;44.0;459;260.0;616.0;4.0;484.0
24;RN;2003;32.0;17;200.0;95.0;261.0;17.0;1627.0;183;373.0;16.0;81.0;289;155.0;405.0;14.0;277.0
23;CE;2003;103.0;44;771.0;159.0;708.0;46.0;93.0;727;1460.0;40.0;149.0;846;449.0;1563.0;10.0;748.0
22;PI;2003;32.0;19;156.0;34.0;217.0;10.0;6024.0;137;265.0;24.0;27.0;143;83.0;298.0;7.0;241.0
21;MA;2003;69.0;30;419.0;120.0;599.0;27.0;272.0;389;726.0;58.0;109.0;351;176.0;795.0;11.0;657.0
17;TO;2003;22.0;7;87.0;42.0;144.0;5.0;520.0;80;182.0;17.0;37.0;98;47.0;204.0;5.0;161.0
16;AP;2003;15.0;8;133.0;11.0;159.0;5.0;38.0;125;170.0;12.0;9.0;70;51.0;185.0;2.0;171.0
15;PA;2003;93.0;47;747.0;152.0;1159.0;45.0;321.0;700;1311.0;78.0;137.0;871;466.0;1405.0;15.0;1237.0
11;RO;2004;33.0;15;280.0;164.0;358.0;20.0;313.0;265;529.0;13.0;147.0;334;170.0;563.0;17.0;372.0
53;DF;2004;52.0;26;436.0;109.0;538.0;29.0;332.0;410;642.0;43.0;101.0;506;360.0;696.0;8.0;582.0
52;GO;2004;142.0;59;816.0;475.0;830.0;50.0;865.0;757;1377.0;64.0;411.0;988;601.0;1524.0;64.0;896.0
51;MT;2004;99.0;49;401.0;273.0;512.0;36.0;431.0;352;754.0;60.0;234.0;454;236.0;853.0;39.0;572.0
50;MS;2004;55.0;23;319.0;269.0;342.0;24.0;3155.0;296;601.0;30.0;245.0;387;217.0;656.0;24.0;372.0
43;RS;2004;195.0;80;1016.0;1581.0;358.0;106.0;345.0;936;1787.0;26.0;1414.0;1432;837.0;1982.0;167.0;384.0
42;SC;2004;79.0;23;281.0;490.0;92.0;32.0;363.0;258;559.0;7.0;427.0;377;202.0;638.0;63.0;99.0
41;PR;2004;249.0;119;1566.0;2233.0;495.0;132.0;3035.0;1447;2573.0;41.0;2030.0;1912;1185.0;2826.0;202.0;537.0
35;SP;2004;861.0;401;6446.0;6530.0;4434.0;458.0;418.0;6045;10474.0;285.0;5958.0;7611;4743.0;11336.0;572.0;4720.0
33;RJ;2004;506.0;205;4349.0;2537.0;4536.0;338.0;7152.0;4144;7221.0;251.0;2307.0;6193;3555.0;7731.0;230.0;4787.0
32;ES;2004;137.0;61;936.0;260.0;859.0;80.0;123.0;875;1482.0;69.0;227.0;1188;761.0;1619.0;33.0;928.0
31;MG;2004;373.0;185;2571.0;1178.0;2686.0;220.0;719.0;2386;3913.0;230.0;1063.0;3255;2154.0;4286.0;115.0;2916.0
29;BA;2004;195.0;89;1311.0;159.0;1704.0;78.0;69.0;1222;2064.0;155.0;139.0;1590;1023.0;2262.0;20.0;1859.0
28;SE;2004;29.0;14;234.0;49.0;255.0;14.0;937.0;220;424.0;15.0;43.0;301;167.0;454.0;6.0;270.0
27;AL;2004;75.0;34;623.0;52.0;666.0;35.0;213.0;589;960.0;42.0;43.0;754;481.0;1035.0;9.0;708.0
26;PE;2004;276.0;142;2490.0;444.0;3224.0;189.0;1108.0;2348;3898.0;206.0;388.0;3344;2125.0;4174.0;56.0;3430.0
25;PB;2004;60.0;17;350.0;45.0;493.0;41.0;1511.0;333;611.0;47.0;40.0;472;257.0;675.0;5.0;540.0
24;RN;2004;21.0;9;181.0;65.0;233.0;9.0;1776.0;172;323.0;13.0;61.0;237;134.0;344.0;4.0;246.0
23;CE;2004;123.0;52;826.0;140.0;655.0;51.0;94.0;774;1459.0;44.0;125.0;916;524.0;1582.0;15.0;699.0
22;PI;2004;26.0;17;173.0;50.0;237.0;8.0;5852.0;156;301.0;14.0;40.0;131;80.0;327.0;10.0;251.0
21;MA;2004;53.0;25;398.0;88.0;587.0;23.0;228.0;373;679.0;44.0;79.0;355;196.0;732.0;9.0;631.0
17;TO;2004;18.0;8;99.0;49.0;135.0;6.0;476.0;91;180.0;14.0;45.0;100;47.0;198.0;4.0;149.0
16;AP;2004;15.0;8;116.0;10.0;146.0;5.0;30.0;108;157.0;14.0;9.0;74;51.0;172.0;1.0;160.0
15;PA;2004;93.0;43;811.0;157.0;1274.0;42.0;286.0;768;1426.0;77.0;143.0;969;539.0;1519.0;14.0;1351.0
14;RR;2004;7.0;6;44.0;16.0;63.0;1.0;1326.0;38;78.0;3.0;13.0;31;15.0;85.0;3.0;66.0
13;AM;2004;49.0;19;309.0;76.0;406.0;14.0;927.0;290;477.0;34.0;63.0;227;136.0;526.0;13.0;440.0
12;AC;2004;10.0;4;75.0;27.0;73.0;7.0;42.0;71;104.0;7.0;24.0;49;31.0;114.0;3.0;80.0
53;DF;2005;47.0;19;403.0;95.0;519.0;25.0;468.0;384;610.0;32.0;81.0;452;317.0;657.0;14.0;551.0
11;RO;2005;49.0;26;246.0;148.0;361.0;25.0;342.0;220;506.0;30.0;134.0;367;175.0;555.0;14.0;391.0
12;AC;2005;13.0;7;67.0;31.0;79.0;1.0;35.0;60;111.0;8.0;26.0;36;18.0;124.0;5.0;87.0
